last,x,y
0.0,-2000.0,0.0
0.0001000001000001,-1999.997999998,0.002000002000002
0.0002000002000002,-1999.995999996,0.004000004000004
0.0003000003000003,-1999.993999994,0.006000006000006
0.0004000004000004,-1999.991999992,0.008000008000008
0.0005000005000005,-1999.98999999,0.010000010000009999
0.0006000006000006,-1999.987999988,0.012000012000012
0.0007000007000007,-1999.985999986,0.014000014000014
0.0008000008000008,-1999.983999984,0.016000016000016
0.0009000009000009001,-1999.981999982,0.018000018000018
0.001000001000001,-1999.97999998,0.020000020000019998
0.0011000011000011,-1999.977999978,0.022000022000022
0.0012000012000012,-1999.975999976,0.024000024000024
0.0013000013000013001,-1999.973999974,0.026000026000026
0.0014000014000014,-1999.971999972,0.028000028000028
0.0015000015000015,-1999.96999997,0.03000003000003
0.0016000016000016,-1999.967999968,0.032000032000032
0.0017000017000017,-1999.965999966,0.034000034000034
0.0018000018000018001,-1999.9639999639999,0.036000036000036
0.0019000019000019,-1999.961999962,0.038000038000038
0.002000002000002,-1999.95999996,0.040000040000039996
0.0021000021000021,-1999.9579999579998,0.042000042000042
0.0022000022000022,-1999.955999956,0.044000044000044
0.0023000023000023,-1999.953999954,0.046000046000046
0.0024000024000024,-1999.951999952,0.048000048000048
0.0025000025000025,-1999.94999995,0.05000005000005
0.0026000026000026003,-1999.947999948,0.052000052000052
0.0027000027000027,-1999.945999946,0.054000054000054
0.0028000028000028,-1999.9439999439999,0.056000056000056
0.0029000029000029,-1999.941999942,0.058000058000058
0.003000003000003,-1999.93999994,0.06000006000006
0.0031000031000031,-1999.9379999379998,0.062000062000062
0.0032000032000032,-1999.935999936,0.064000064000064
0.0033000033000033,-1999.933999934,0.066000066000066
0.0034000034000034,-1999.9319999319998,0.068000068000068
0.0035000035000035,-1999.92999993,0.07000007000007
0.0036000036000036002,-1999.927999928,0.072000072000072
0.0037000037000037003,-1999.925999926,0.074000074000074
0.0038000038000038,-1999.9239999239999,0.076000076000076
0.0039000039000039,-1999.921999922,0.078000078000078
0.004000004000004,-1999.91999992,0.08000008000007999
0.0041000041000041005,-1999.9179999179999,0.082000082000082
0.0042000042000042,-1999.915999916,0.084000084000084
0.0043000043000043,-1999.913999914,0.086000086000086
0.0044000044000044,-1999.9119999119998,0.088000088000088
0.0045000045000045,-1999.90999991,0.09000009000009
0.0046000046000046,-1999.907999908,0.092000092000092
0.0047000047000047,-1999.9059999059998,0.094000094000094
0.0048000048000048,-1999.9039999039999,0.096000096000096
